Company Name,Hourly Rate,Number of Employees,Founding Year,Location,Cloud Computing Focus Area Percentage,Brief Description,Microsoft/Azure Indication,Last Year Revenue,Website,Microsoft Gold Certified Partner,Microsoft FastTrack Partner,Elite Enterprise Mobility + Security & Windows 10 Premier Partner,Azure Circle Partner,Leading System Centre Partner
Navantis (now part of Datavail),$85-115/hr,50-75,1998,Toronto,65%,"Microsoft Gold Partner providing Azure cloud services, managed services and custom application development.",Yes,NA,https://www.datavail.com,Yes,No,No,No,No
CrucialLogics,$90-120/hr,25-50,2008,Mississauga,80%,"Microsoft-focused IT consulting firm specializing in Azure cloud migrations, security and digital workplace solutions.",Yes,NA,https://www.cruciallogics.com,Yes,Yes,No,No,No
Kiefer Consulting,$85-110/hr,30-50,1988,Toronto,70%,"Microsoft Gold Partner offering cloud solutions built on Azure, SharePoint and Microsoft 365 technologies.",Yes,NA,https://www.kieferconsulting.com,Yes,No,No,No,No
Trigyn Technologies,$80-110/hr,40-60,1986,Toronto,65%,IT consulting and services company providing Azure cloud solutions and Microsoft technology implementations.,Yes,NA,https://www.trigyn.com,Yes,No,No,No,No
Sada Systems Canada,$90-125/hr,50-75,2000,Vancouver,85%,Cloud technology consultancy helping organizations leverage Azure and other Microsoft cloud technologies.,Yes,NA,https://sada.com,Yes,No,No,No,No
Long View Systems,$85-115/hr,75-100,1999,Calgary,75%,"IT services and solutions provider specializing in Azure cloud infrastructure, managed services and digital transformation.",Yes,NA,https://www.longviewsystems.com,Yes,Yes,No,No,No
Systems Logic,$80-105/hr,15-30,1996,Toronto,60%,"Business technology firm delivering Microsoft Azure, Dynamics 365 and custom development solutions.",Yes,NA,https://www.systemslogic.ca,Yes,No,No,No,No
Compugen,$90-120/hr,100+,1981,Richmond Hill,70%,"IT solutions provider offering Azure cloud services, infrastructure solutions and managed services.",Yes,NA,https://www.compugen.com,Yes,No,No,No,No
BDO Digital Canada,$95-130/hr,50-75,1921,Toronto,65%,Professional services firm with a digital division providing Azure cloud services and Microsoft business solutions.,Yes,NA,https://www.bdo.ca/en-ca/services/digital/,Yes,No,No,No,No
Macadamian Technologies,$85-115/hr,30-50,1997,Gatineau,75%,Digital innovation firm offering Azure-based cloud solutions for healthcare and enterprise clients.,Yes,NA,https://www.macadamian.com,Yes,No,No,No,No
MNP Digital,$90-125/hr,100+,1958,Calgary,70%,National professional services firm with a digital division providing Microsoft Azure and cloud transformation services.,Yes,NA,https://mnpdigital.ca,Yes,Yes,No,No,No
Convergent IS,$85-110/hr,25-40,2002,Calgary,80%,Business technology consultancy specializing in Azure cloud solutions and Microsoft enterprise applications.,Yes,NA,https://www.convergentis.com,Yes,No,No,No,No
Systemforce IT,$75-100/hr,15-30,2006,Toronto,65%,"IT services provider focused on Azure cloud migration, Microsoft 365 and managed services.",Yes,NA,https://www.systemforceit.com,Yes,No,No,No,No
Solvera Solutions,$80-110/hr,50-75,2005,Regina,70%,"IT consulting firm providing Azure cloud services, business applications and managed services.",Yes,NA,https://www.solvera.ca,Yes,No,No,No,No
F12.net,$75-105/hr,75-100,1996,Edmonton,60%,"Managed IT service provider offering Azure cloud infrastructure, Microsoft 365 and cybersecurity solutions.",Yes,NA,https://f12.net,Yes,No,No,No,No
Xplornet Enterprise Solutions,$80-105/hr,40-60,2004,Woodstock,65%,Enterprise IT solutions provider offering Azure cloud services and managed infrastructure.,Yes,NA,https://enterprise.xplornet.com,Yes,No,No,No,No
ESI Technologies,$85-115/hr,75-100,1994,Montreal,70%,IT infrastructure solutions provider specializing in Azure cloud services and digital transformation.,Yes,NA,https://www.esitechnologies.com,Yes,No,No,No,No
Groupe Access,$80-105/hr,50-75,1993,Montreal,65%,"IT solutions provider offering Azure cloud services, managed services and cybersecurity solutions.",Yes,NA,https://www.groupeaccess.ca,Yes,No,No,No,No
Optimus Information,$85-110/hr,25-40,2008,Vancouver,75%,Software development and IT consulting firm specializing in Azure cloud solutions and application modernization.,Yes,NA,https://www.optimusinfo.com,Yes,No,No,No,No
Broadview Networks,$80-105/hr,30-50,2001,Winnipeg,70%,"IT service provider offering Azure cloud solutions, managed services and cybersecurity.",Yes,NA,https://www.broadviewnetworks.ca,Yes,No,No,No,No
Novipro,$85-110/hr,75-100,1993,Montreal,65%,"IT consulting firm providing Azure cloud infrastructure, data management and security solutions.",Yes,NA,https://www.novipro.com,Yes,No,No,No,No
Insight Canada,$95-135/hr,100+,1988,Toronto,80%,Global IT provider with strong Canadian presence offering Azure cloud solutions and managed services.,Yes,NA,https://ca.insight.com,Yes,Yes,No,No,No
Decisive Group,$80-110/hr,30-50,2001,Ottawa,65%,IT infrastructure solutions provider specializing in Azure cloud services and digital transformation.,Yes,NA,https://www.decisivegroup.com,Yes,No,No,No,No
Itergy,$85-115/hr,40-60,2001,Montreal,75%,"Microsoft-focused IT consulting firm specializing in Azure cloud solutions, identity management and security.",Yes,NA,https://www.itergy.com,Yes,Yes,No,No,No
PiiComm,$75-100/hr,20-35,2007,Ottawa,60%,Managed mobility services provider offering Azure cloud solutions and Microsoft enterprise services.,Yes,NA,https://www.piicomm.ca,Yes,No,No,No,No
BrunNet,$75-100/hr,15-25,1991,Montreal,70%,"IT solutions provider specializing in Azure cloud services, infrastructure and managed services.",Yes,NA,https://www.brunnet.com,Yes,No,No,No,No
Equisoft,$85-115/hr,75-100,1994,Montreal,65%,Digital solutions provider for financial services and insurance leveraging Azure cloud technology.,Yes,NA,https://www.equisoft.com,Yes,No,No,No,No
Onica (now part of Rackspace Technology),$90-125/hr,50-75,2006,Toronto,90%,Cloud-native consulting company specializing in Azure services and digital transformation.,Yes,NA,https://www.rackspace.com,Yes,No,No,No,No
Arctiq,$90-115/hr,20-35,2016,Toronto,80%,Cloud and DevOps consulting firm providing Azure solutions and modern IT infrastructure services.,Yes,NA,https://www.arctiq.ca,Yes,No,No,No,No
Infor Canada,$95-130/hr,100+,2002,Toronto,60%,Business cloud software provider offering solutions built on Azure for various industries.,Yes,NA,https://www.infor.com/en-ca,Yes,No,No,No,No
Regroove,$75-100/hr,25-Oct,2008,Victoria,70%,Microsoft-focused consulting firm specializing in Azure cloud solutions and Microsoft 365 services.,Yes,NA,https://regroove.ca,Yes,No,No,No,No
Bulletproof Solutions,$80-110/hr,30-50,2000,Fredericton,75%,"IT services firm providing Azure cloud solutions, cybersecurity and managed services.",Yes,NA,https://www.bulletproofsi.com,Yes,No,No,No,No
Nucleus,$80-105/hr,15-30,2010,Calgary,65%,Business technology consultancy specializing in Azure cloud services and Microsoft ERP solutions.,Yes,NA,https://nucleus.ca,Yes,No,No,No,No
Maplesoft Group,$85-115/hr,50-75,1997,Ottawa,70%,"IT consulting firm offering Azure cloud services, application development and managed services.",Yes,NA,https://www.maplesoftgroup.com,Yes,No,No,No,No
